KODE	NAMA BAHAN	SUMBER	AIR (g)	ENERGI (Kal)	PROTEIN (g)	LEMAK (g)	KH (g)	SERAT (g)	ABU (g)	KALSIUM (mg)	FOSFOR (mg)	BESI (mg)	NATRIUM (mg)	KALIUM (mg)	TEMBAGA (mg)	SENG (mg)	RETINOL (mcg)	B-KAR (mcg)	KAR-TOTAL (mcg)	THIAMIN (mg)	RIBOFLAVIN (mg)	NIASIN (mg)	VIT-C (mg)	BDD (%)	KATEGORI	HARGA	MIKRO_TAGS
AR014	Cantel/Sorgum, mentah	DABM-1964	11.0	366	11.0	3.3	73.0	1.2	1.7	28	287	4.4	7	249.0	0.0	0.0	0	0	0	0.09	0.14	2.8	0	100	Serealia	murah	
GR048	Ikan mujahir, segar	KZGPI- 1990	79.7	89	18.7	1.0	0.0	0.0	1.1	96	209	1.5	51	265.8	0.0	0.2	6	3	5	0.03	0.1	2.0	0	80	Hewan Air Tawar	sedang	
FR016	Daging Domba, segar	DABM-1964	55.8	317	15.7	27.7	0.0	0.0	0.8	9	157	2.4	64	242.1	0.11	3.7	0	0	0	0.14	0.23	6.5	0	100	Mamalia	mahal	
FR012	Daging Bebek, segar	DABM-1964	54.3	321	16.0	28.6	0.0	0.0	1.1	15	188	1.8	54	199.0	0.21	1.2	273	0	0	0.1	0.28	4.3	0	60	Unggas	mahal	
ER031	Jambu biji	DABM-1964	86.0	49	0.9	0.3	12.2	2.4	0.6	14	28	1.1	10	52.8	0.0	0.3	0	27	25	0.02	0.03	0.8	87	82	Buah	murah	Sumber Vitamin C
DR154	Terong, segar	DABM-1964	92.7	28	1.1	0.2	5.5	2.1	0.5	15	37	0.4	9	187.0	0.1	0.1	0	46	30	0.04	0.03	0.5	5	100	Sayur	murah	
GR011	Ikan baung, segar	KZGMI-2001	74.9	123	15.1	5.5	3.3	0.0	1.2	5	146	1.3	32	349.0	0.1	0.7	0	0	0	0.2	0.03	1.2	0	0	Hewan Air Tawar	sedang	
GR012	Ikan bawal, segar	DABM- 1964	78.0	91	19.0	1.7	0.0	0.0	1.3	20	150	2.0	129	233.3	0.1	0.3	45	0	0	0.05	0.1	1.8	0	0	Hewan Laut	mahal	Sumber Vitamin D (estimasi)|Sumber Omega-3 (estimasi)
GR019	Ikan cakalang, segar	KZGMI-2001	73.0	107	19.6	0.7	5.5	0.0	1.2	23	242	2.9	66	239.0	0.2	0.6	386	0	0	0.17	0.05	21.7	0	0	Hewan Laut	mahal	Sumber Vitamin D (estimasi)|Sumber Omega-3 (estimasi)
GR057	Ikan sarden, segar	KZGMI-2001	72.7	109	19.9	1.8	3.4	0.0	2.2	95	597	1.3	266	227.0	0.3	2.0	195	0	0	0.26	0.03	4.4	0	0	Hewan Laut	mahal	Sumber Fosfor|Sumber Natrium|Sumber Vitamin D (estimasi)|Sumber Omega-3 (estimasi)
